id,xP
1,6.0
2,0.0
3,0.0
4,5.0
5,0.2
6,0.0
7,1.5
8,5.0
9,0.2
10,2.5
11,1.5
12,5.8
13,4.2
14,0.8
15,4.5
16,0.2
17,0.8
18,0.0
19,1.0
20,0.2
22,0.0
23,0.0
24,0.0
25,0.5
26,3.2
27,0.0
31,3.0
452,2.2
557,2.5
29,0.0
30,0.0
32,1.8
33,2.2
34,0.0
35,0.0
36,0.0
37,2.5
38,0.0
39,0.0
41,4.8
44,0.0
45,4.0
46,2.0
47,3.2
48,0.0
49,0.0
50,0.0
51,1.8
52,1.8
53,3.5
54,1.0
55,0.0
56,1.0
160,0.5
166,2.0
582,0.0
596,1.0
597,4.0
606,0.0
607,0.0
611,1.5
618,0.0
630,0.0
631,0.7
667,1.0
57,1.8
58,0.0
59,0.0
60,2.8
61,2.2
62,0.0
63,0.0
64,0.8
65,0.0
66,0.0
67,2.0
68,5.2
69,7.0
70,3.0
71,1.2
72,0.8
73,2.8
74,0.8
75,1.2
76,0.2
77,0.0
78,0.0
79,3.5
80,0.0
81,0.5
566,2.8
573,0.0
608,0.5
615,0.0
82,3.2
83,0.0
84,0.0
85,0.0
86,3.0
87,3.2
88,2.5
89,0.2
90,1.0
92,0.0
93,5.2
94,9.0
95,1.0
96,3.8
97,0.0
98,4.8
99,0.0
100,1.5
102,2.0
103,0.0
105,3.5
106,2.5
107,0.0
108,0.5
565,2.0
620,0.5
657,0.0
660,1.1
661,1.0
109,4.2
111,0.0
113,3.2
114,3.2
115,5.2
116,4.0
117,0.0
118,0.0
119,0.8
120,0.2
121,0.0
122,0.0
123,0.0
124,11.2
125,0.2
126,0.5
127,4.5
128,0.0
129,3.2
130,0.0
132,0.0
133,0.0
134,0.0
135,0.0
137,0.0
138,6.8
139,0.0
328,1.8
504,6.5
594,0.2
600,0.5
605,4.8
614,0.0
624,0.0
639,4.0
652,0.0
658,0.0
28,2.2
40,5.8
101,0.2
136,0.8
140,0.0
141,0.0
142,0.4
143,0.0
144,0.8
145,1.6
146,0.0
148,1.6
149,0.6
150,0.0
151,1.0
152,0.0
154,5.6
156,2.8
157,0.8
158,0.0
159,0.1
161,2.2
163,0.0
164,0.4
165,4.9
168,0.0
169,0.0
170,0.0
200,2.6
560,0.0
561,0.0
568,0.6
583,1.0
662,1.1
91,3.5
104,1.8
110,3.8
171,0.0
172,0.0
173,5.2
174,0.0
175,1.2
176,4.8
177,0.0
178,0.0
179,0.2
180,0.0
181,0.0
182,0.2
183,3.0
184,2.2
185,0.2
186,1.2
187,0.0
188,0.5
189,0.0
190,0.8
191,0.0
192,0.0
193,0.0
194,1.8
195,0.5
196,0.0
197,0.0
492,0.0
575,2.0
584,0.5
599,0.2
623,0.0
655,0.0
656,3.0
42,0.2
153,0.0
198,0.0
199,2.0
202,2.8
203,2.2
204,5.8
205,0.0
206,0.0
207,0.5
208,0.2
210,2.0
211,3.2
212,0.5
213,0.2
214,4.5
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,3.2
223,0.0
224,1.8
225,0.0
241,0.2
555,0.0
577,0.5
588,4.5
595,0.5
633,1.0
