name,position,team,xP,status,news,chance_of_playing_this_round,chance_of_playing_next_round,selected_by_percent,selected_rank,selected_rank_type,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Nordi Mukiele,DEF,Sunderland,,a,,,100,2.4,115,46,0,0,0,0,0,0.0,0,533,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,12,0,0,0,0,0,1,0,257772,0,0,1,2,0.0,0,0,0,0,55,False,0
Cody Gakpo,MID,Liverpool,,a,,,,3.6,84,28,0,3,33,0,4,34.0,12,367,0.15,0.45,0.30,1.58,9,2,1,11.5,44.0,2026-08-23T15:30:00Z,90,False,17,0,0,0,5,0,1,0,310403,1,3,2,2,37.0,12,0,0,0,70,False,0
Matty Cash,DEF,Aston Villa,,a,,,,8.5,48,19,0,0,-8,0,5,1.1,7,32,0.00,0.00,0.00,3.77,7,4,0,1.3,12.0,2026-08-23T13:00:00Z,90,False,5,0,0,0,0,0,1,0,789072,1,2,0,4,0.0,-1,0,0,0,45,False,1
Kevin Santos Lopes de Macedo,MID,Fulham,,a,,,,0.1,468,192,0,0,2,0,0,1.9,3,263,0.01,0.01,0.00,0.03,10,0,0,0.7,5.2,2026-08-24T19:00:00Z,17,False,6,0,0,0,1,0,1,0,5144,0,2,3,2,0.0,1,0,0,0,55,True,0
George Shepherd,MID,Coventry City,,a,,,,0.3,298,99,0,0,0,0,0,0.0,0,189,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,False,1,0,0,0,0,0,1,0,28435,0,0,0,3,0.0,0,0,0,0,45,False,0
Trai Hume,DEF,Sunderland,,a,,,,6.6,60,24,0,0,14,0,1,39.4,4,534,0.27,0.31,0.04,1.69,5,1,0,6.2,9.4,2026-08-22T14:00:00Z,79,False,12,0,0,0,6,0,1,0,641436,1,3,1,2,13.0,2,0,0,0,45,False,0
Sven Botman,DEF,Newcastle,,a,,,,0.4,275,101,0,0,4,0,10,0.3,10,447,0.01,0.01,0.00,2.98,9,2,0,3.3,32.4,2026-08-23T15:30:00Z,90,False,14,0,0,0,2,0,1,0,34765,1,0,2,2,0.0,3,0,0,0,50,True,0
Benjamin Sesko,FWD,Man Utd,,d,Shin injury - 75% chance of playing,,75,1.4,166,24,0,0,2,0,0,0.5,0,439,0.00,0.04,0.04,0.07,4,0,0,0.9,0.0,2026-08-22T11:30:00Z,23,False,11,0,0,0,0,0,1,0,114788,0,0,0,2,9.0,1,0,0,0,70,False,0
Carlos Baleba,MID,Brighton,,i,Ankle injury - Expected back 23 Aug,,0,0.2,336,117,0,0,0,0,0,0.0,0,131,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,2,0,0,0,0,0,1,0,17798,0,0,0,4,0.0,0,0,0,0,50,True,0
Granit Xhaka,MID,Sunderland,,a,,,,4.5,74,24,1,2,31,0,2,31.4,13,544,0.09,0.09,0.00,1.80,5,2,0,5.0,18.8,2026-08-22T14:00:00Z,90,False,12,0,0,0,8,0,1,0,392611,1,3,1,2,0.0,9,0,0,0,55,False,0
Marco Bizot,GK,Aston Villa,,a,,,,0.1,412,45,0,0,1,0,2,0.0,0,29,0.00,0.00,0.00,3.77,7,4,0,2.8,28.2,2026-08-23T13:00:00Z,90,False,5,0,0,0,6,0,1,3,10183,1,0,0,4,0.0,1,0,0,0,45,False,0
Chris Richards,DEF,Crystal Palace,,a,,,,0.8,210,80,0,0,13,0,14,0.7,16,202,0.00,0.00,0.00,1.12,3,2,0,4.3,42.6,2026-08-22T14:00:00Z,90,False,9,0,0,0,1,0,1,0,66477,1,2,0,2,0.0,3,0,0,0,50,False,0
Zavier Gozo,MID,Crystal Palace,,a,,,,0.0,575,243,0,0,0,0,0,0.0,0,595,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,9,0,0,0,0,0,1,0,1214,0,0,0,2,0.0,0,0,0,0,50,False,0
Ethan Pinnock,DEF,Brentford,,a,,,,0.1,444,155,0,0,0,0,0,0.0,0,91,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,19,0,0,0,0,0,1,0,7000,0,0,0,3,0.0,0,0,0,0,45,True,0
Luke Shaw,DEF,Man Utd,,a,,,,21.5,15,4,0,0,13,0,3,59.2,4,423,0.26,0.26,0.00,1.01,4,2,0,9.0,25.2,2026-08-22T11:30:00Z,90,False,11,0,0,0,3,0,1,0,1947696,1,1,0,2,6.0,1,0,0,0,45,False,0
Tanaka Ao,MID,Leeds,,a,,,,0.3,318,108,0,0,0,0,0,0.0,0,345,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,18,0,0,0,0,0,1,0,23052,0,0,1,0,0.0,0,0,0,0,50,False,0
Leo Fuhr Hjelde,DEF,Sunderland,,u,Has joined KV Mechelen on loan for the rest of the season,,0,0.1,432,149,0,0,0,0,0,0.0,0,538,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,12,0,0,0,0,0,1,0,6220,0,0,1,2,0.0,0,0,0,0,40,False,0
Callum Hudson-Odoi,MID,Nott'm Forest,,a,,,100,0.2,325,112,0,0,0,0,0,0.0,0,482,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,13,0,0,0,0,0,1,0,23579,0,0,1,0,0.0,0,0,0,0,60,True,0
Ryan Sessegnon,DEF,Fulham,,a,,,,0.4,264,98,0,0,7,0,1,0.5,1,269,0.00,0.03,0.03,0.03,10,0,0,2.6,6.6,2026-08-24T19:00:00Z,17,False,6,0,0,0,1,0,1,0,39784,0,0,3,2,19.0,1,0,0,0,45,True,0
Matt O'Riley,MID,Brighton,,a,,,,0.1,431,173,0,0,0,0,0,0.0,0,126,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,2,0,0,0,0,0,1,0,8249,0,0,0,4,0.0,0,0,0,0,55,True,0
Sandro Tonali,MID,Spurs,,a,,,,4.2,78,26,0,0,14,0,0,6.4,4,455,0.06,0.10,0.04,3.87,2,3,0,2.1,6.2,2026-08-22T16:30:00Z,90,False,4,0,0,0,3,0,1,0,376914,1,1,0,3,8.0,2,0,0,0,55,False,0
Jaden Philogene,MID,Ipswich Town,,a,,,,0.2,370,136,0,0,0,0,0,0.0,0,318,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,20,0,0,0,0,0,1,0,14821,0,0,1,2,0.0,0,0,0,0,55,True,0
Luc De Fougerolles,DEF,Fulham,0.0,,,,,,,,0,0,0,0,0,0.0,0,610,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,False,6,0,0,0,0,0,1,0,0,0,0,3,2,0.0,0,0,0,0,40,True,0
Alisson Becker,GK,Liverpool,,a,,,,3.6,85,13,0,0,7,0,2,0.0,0,350,0.00,0.00,0.00,1.58,9,2,0,1.8,17.8,2026-08-23T15:30:00Z,90,False,17,0,0,0,6,0,1,3,302846,1,0,2,2,0.0,2,0,0,0,55,False,0
Matteo Ruggeri,DEF,Aston Villa,,a,,,,0.1,482,166,0,0,3,0,0,0.0,2,596,0.00,0.00,0.00,0.14,7,0,0,0.4,4.0,2026-08-23T13:00:00Z,8,False,5,0,0,0,0,0,1,0,7884,0,2,0,4,0.0,1,0,0,0,45,False,0
Brandon Thomas-Asante,FWD,Coventry City,,a,,,,0.8,211,35,0,0,9,0,5,1.1,6,194,0.02,0.02,0.00,1.60,1,3,0,0.6,4.6,2026-08-21T19:00:00Z,69,False,1,0,0,0,1,0,1,0,66198,1,0,0,3,0.0,2,0,0,0,50,False,0
Jefferson Lerma Solís,MID,Crystal Palace,,a,,,,0.1,413,163,0,0,0,0,0,0.0,0,213,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,9,0,0,0,0,0,1,0,10665,0,0,0,2,0.0,0,0,0,0,50,False,0
Alex Iwobi,MID,Fulham,,a,,,,1.0,189,64,0,0,17,0,3,11.3,10,261,0.04,0.04,0.00,2.24,10,3,0,2.4,12.4,2026-08-24T19:00:00Z,90,False,6,0,0,0,6,0,1,0,88413,1,1,3,2,0.0,2,0,0,0,55,True,0
Harry Howell,MID,Brighton,,u,Has joined Leicester City on loan for the rest of the season,,0,0.1,422,169,0,0,0,0,0,0.0,0,132,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,2,0,0,0,0,0,1,0,6770,0,0,0,4,0.0,0,0,0,0,45,True,0
Felipe Rodrigues da Silva,DEF,Nott'm Forest,,a,,,,0.0,485,168,0,0,0,0,0,0.0,0,470,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,13,0,0,0,0,0,1,0,4345,0,0,1,0,0.0,0,0,0,0,50,True,0
Dean Henderson,GK,Crystal Palace,,d,Ankle injury - 75% chance of playing,,75,2.5,114,18,0,0,14,0,3,0.0,0,198,0.00,0.00,0.00,1.12,3,2,0,2.8,28.2,2026-08-22T14:00:00Z,90,False,9,0,0,0,13,0,1,3,171144,1,0,0,2,0.0,2,0,0,0,50,False,0
Ibrahim Sangaré,MID,Nott'm Forest,,a,,,,1.1,179,59,0,0,10,0,3,13.0,6,488,0.01,0.04,0.03,0.47,6,1,0,3.4,17.8,2026-08-22T14:00:00Z,90,False,13,0,0,0,3,0,1,0,100536,1,0,1,0,3.0,2,0,0,0,50,True,0
Jaidon Anthony,MID,Brentford,,a,,,,0.2,381,141,0,0,9,0,0,34.9,8,105,0.35,0.38,0.03,0.10,2,0,0,4.7,10.6,2026-08-22T16:30:00Z,23,False,19,0,0,0,6,0,1,0,14244,0,2,0,3,1.0,1,0,0,0,60,True,0
William Saliba,DEF,Arsenal,,i,Back injury - Unknown return date,,0,0.3,294,108,0,0,0,0,0,0.0,0,6,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,False,7,0,0,0,0,0,1,0,26559,0,0,0,3,0.0,0,0,0,0,60,True,0
David Akintola,MID,Hull City,,a,,,,0.0,512,214,0,0,0,0,0,0.0,0,296,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,False,16,0,0,0,0,0,1,0,3400,0,0,0,2,0.0,0,0,0,0,50,True,0
Luca Netz,DEF,Nott'm Forest,,a,,,,0.0,530,178,0,0,-2,0,0,0.9,0,478,0.00,0.00,0.00,0.13,6,1,0,0.1,0.0,2026-08-22T14:00:00Z,16,False,13,0,0,0,1,0,1,0,2322,0,0,1,0,0.0,1,0,0,0,45,True,0
Georginio Rutter,FWD,Brighton,,a,,,,0.9,194,30,1,0,22,1,1,11.4,7,125,0.44,0.52,0.08,0.29,7,0,0,4.6,19.8,2026-08-23T13:00:00Z,90,False,2,0,0,0,4,0,1,0,78765,1,2,0,4,15.0,5,0,0,0,55,True,0
Darko Gyabi,MID,Hull City,,i,Thigh injury - Unknown return date,,0,0.0,507,212,0,0,0,0,0,0.0,0,297,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,False,16,0,0,0,0,0,1,0,2774,0,0,0,2,0.0,0,0,0,0,45,True,0
Nick Pope,GK,Newcastle,,a,,,,1.3,170,24,0,0,0,0,0,0.0,0,442,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,14,0,0,0,0,0,1,0,113822,0,0,2,2,0.0,0,0,0,0,50,True,0
Kevin Danso,DEF,Spurs,,a,,,,0.2,374,142,0,0,0,0,0,0.0,0,501,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,4,0,0,0,0,0,1,0,15516,0,0,0,3,0.0,0,0,0,0,50,False,0
Malick Thiaw,DEF,Newcastle,,a,,,,1.7,136,56,0,0,0,0,15,0.2,15,445,0.00,0.00,0.00,2.98,9,2,0,3.8,37.8,2026-08-23T15:30:00Z,90,False,14,0,0,0,2,0,1,0,146838,1,0,2,2,0.0,3,0,0,0,50,True,0
Elliot Anderson,MID,Man City,,a,,,,8.4,51,17,0,0,14,0,1,20.8,6,481,0.25,0.25,0.00,0.55,8,1,0,2.8,7.2,2026-08-23T13:00:00Z,62,False,3,0,0,0,3,0,1,0,707651,1,2,1,2,0.0,2,0,0,0,65,True,0
Mark Gillespie,GK,Newcastle,,a,,,,0.0,520,61,0,0,0,0,0,0.0,0,443,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,14,0,0,0,0,0,1,0,2989,0,0,2,2,0.0,0,0,0,0,45,True,0
Hugo Ekitiké,FWD,Liverpool,,i,Achilles injury - Unknown return date,,0,0.2,378,57,0,0,0,0,0,0.0,0,380,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,17,0,0,0,0,0,1,0,14410,0,0,2,2,0.0,0,0,0,0,75,False,0
Rico Henry,DEF,Brentford,,a,,,,0.3,319,119,0,0,0,0,0,0.0,0,89,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,19,0,0,0,0,0,1,0,22322,0,0,0,3,0.0,0,0,0,0,45,True,0
Jørgen Strand Larsen,FWD,Crystal Palace,,a,,,,0.6,245,42,0,0,3,0,0,3.5,0,222,0.01,0.26,0.25,0.14,3,0,0,2.2,1.0,2026-08-22T14:00:00Z,27,False,9,0,0,0,0,0,1,0,50940,0,0,0,2,17.0,1,0,0,0,60,False,0
Harvey Elliott,MID,Liverpool,,a,,,,0.1,452,180,0,0,0,0,0,0.0,0,383,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,17,0,0,0,0,0,1,0,6399,0,0,2,2,0.0,0,0,0,0,55,False,0
Joachim Andersen,DEF,Fulham,,s,Suspended until 30 Aug,,0,0.0,506,172,0,0,0,0,0,0.0,0,253,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,False,6,0,0,0,0,0,1,0,3342,0,0,3,2,0.0,0,0,0,0,50,True,0
Dário Luís Essugo,MID,Chelsea,,a,,,,0.2,347,123,0,0,0,0,0,0.0,0,163,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,False,10,0,0,0,0,0,1,0,18298,0,0,3,2,0.0,0,0,0,0,45,False,0
Tim Iroegbunam,MID,Everton,,i,Groin injury - Unknown return date,,0,0.0,540,223,0,0,0,0,0,0.0,0,240,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,8,0,0,0,0,0,1,0,1417,0,0,0,2,0.0,0,0,0,0,50,True,0
Diego Gómez Amarilla,MID,Brighton,,a,,,,3.4,90,30,1,0,27,1,2,25.1,6,127,0.48,0.66,0.18,0.29,7,0,0,9.9,33.0,2026-08-23T13:00:00Z,85,False,2,0,0,0,1,0,1,0,355972,1,3,0,4,41.0,6,0,0,0,50,True,0
Tarik Muharemović,DEF,Leeds,,a,,,,3.3,93,36,0,0,25,1,7,0.6,7,334,0.00,0.09,0.09,0.66,6,0,0,3.3,15.6,2026-08-22T14:00:00Z,90,False,18,0,0,0,1,0,1,0,306283,1,0,1,0,17.0,6,0,0,0,50,False,0
Vitalii Mykolenko,DEF,Everton,,a,,,,1.5,153,64,0,0,27,1,4,13.8,4,233,0.05,0.05,0.00,1.96,3,0,0,2.9,12.8,2026-08-22T14:00:00Z,90,False,8,0,0,0,4,0,1,0,134687,1,0,0,2,2.0,6,0,0,0,45,True,0
Alex Murphy,DEF,Newcastle,,u,Has joined FC Kaiserslautern on loan for the rest of the season,,0,0.2,353,135,0,0,0,0,0,0.0,0,451,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,14,0,0,0,0,0,1,0,12873,0,0,2,2,0.0,0,0,0,0,40,True,0
Dillon Phillips,GK,Hull City,,a,,,,1.6,143,22,0,0,0,0,0,0.0,0,273,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,False,16,0,0,0,0,0,1,0,138196,0,0,0,2,0.0,0,0,0,0,40,True,0
Cole Palmer,MID,Chelsea,,a,,,,10.4,39,14,1,3,60,0,0,41.3,9,154,0.19,0.47,0.28,1.24,10,2,1,16.1,65.2,2026-08-24T19:00:00Z,82,False,10,0,0,0,7,0,1,0,919516,1,2,3,2,54.0,13,0,0,0,95,False,0
Romain Esse,MID,Crystal Palace,,a,,,,0.0,499,207,0,0,0,0,0,0.0,0,216,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,9,0,0,0,0,0,1,0,3728,0,0,0,2,0.0,0,0,0,0,50,False,0
Mamadou Sarr,DEF,Chelsea,,a,,,,0.1,451,160,0,0,0,0,0,0.0,0,150,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,False,10,0,0,0,0,0,1,0,6689,0,0,3,2,0.0,0,0,0,0,45,False,0
Jake O'Brien,DEF,Everton,,a,,,,0.5,253,93,0,0,0,0,0,0.0,0,232,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,8,0,0,0,0,0,1,0,44689,0,0,0,2,0.0,0,0,0,0,50,True,0
Jacob Ramsey,MID,Newcastle,,a,,,,0.4,280,92,0,0,1,0,3,1.3,6,456,0.01,0.07,0.06,1.50,9,1,0,1.3,7.8,2026-08-23T15:30:00Z,34,False,14,0,0,0,1,0,1,0,34032,0,2,2,2,4.0,0,0,0,0,50,True,1
Ephron Mason-Clark,MID,Coventry City,,a,,,100,0.1,411,162,0,0,0,0,0,0.0,0,186,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,False,1,0,0,0,0,0,1,0,11314,0,0,0,3,0.0,0,0,0,0,55,False,0
Gonzalo García,FWD,Fulham,,a,,,,2.1,126,17,0,0,33,0,0,4.3,2,569,0.01,0.74,0.73,2.24,10,3,1,8.2,37.2,2026-08-24T19:00:00Z,90,False,6,0,0,0,1,0,1,0,180799,1,1,3,2,40.0,6,0,0,0,60,True,0
Brian Madjo,FWD,Aston Villa,,i,Unspecified injury - Unknown return date,,0,0.6,234,39,0,0,0,0,0,0.0,0,582,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,5,0,0,0,0,0,1,0,46241,0,0,0,4,0.0,0,0,0,0,55,False,0
Remi Matthews,GK,Crystal Palace,,a,,,,1.7,138,21,0,0,0,0,0,0.0,0,555,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,9,0,0,0,0,0,1,0,156141,0,0,0,2,0.0,0,0,0,0,40,False,0
Ola Aina,DEF,Nott'm Forest,,a,,,,3.8,82,31,0,0,24,1,2,35.6,2,473,0.17,0.21,0.04,0.34,6,0,0,6.3,16.0,2026-08-22T14:00:00Z,73,False,13,0,0,0,4,0,1,0,328883,1,0,1,0,11.0,5,0,0,0,45,True,1
Kieran Dowell,MID,Hull City,,a,,,,0.4,271,90,0,0,0,0,0,0.0,0,288,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,False,16,0,0,0,0,0,1,0,35457,0,0,0,2,0.0,0,0,0,0,45,True,0
Jordan Henderson,MID,Chelsea,,d,Wrist injury - 75% chance of playing,,75,0.0,502,209,0,0,0,0,0,0.0,0,101,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,False,10,0,0,0,0,0,1,0,3629,0,0,3,2,0.0,0,0,0,0,50,False,0
Bart Verbruggen,GK,Brighton,,a,,,,21.0,17,3,0,0,25,1,0,0.0,0,109,0.00,0.00,0.00,0.29,7,0,0,0.7,6.6,2026-08-23T13:00:00Z,90,False,2,0,0,0,4,0,1,0,1987586,1,0,0,4,0.0,6,0,0,0,45,True,0
Yehor Yarmoliuk,MID,Brentford,,a,,,,1.4,164,52,0,0,7,0,1,0.8,6,102,0.00,0.04,0.04,0.10,2,0,0,0.6,2.2,2026-08-22T16:30:00Z,23,False,19,0,0,0,3,0,1,0,123741,0,2,0,3,3.0,1,0,0,0,50,True,0
Marcus Tavernier,MID,Bournemouth,,a,,,,1.6,146,43,0,3,32,0,2,17.2,8,68,0.08,0.48,0.40,2.25,8,2,1,7.5,40.0,2026-08-23T13:00:00Z,90,False,15,0,0,0,4,0,1,0,139421,1,2,1,2,18.0,10,0,0,0,60,False,0
Daichi Kamada,MID,Crystal Palace,,a,,,,0.3,312,105,0,0,25,0,3,29.3,14,214,0.27,0.27,0.00,1.12,3,2,0,5.0,20.4,2026-08-22T14:00:00Z,90,False,9,0,0,0,8,0,1,0,24728,1,3,0,2,0.0,3,0,0,0,50,False,1
Kalvin Phillips,MID,Man City,,u,Has joined Sheffield United on loan for the rest of the season,,0,0.0,561,236,0,0,0,0,0,0.0,0,408,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,3,0,0,0,0,0,1,0,1073,0,0,1,2,0.0,0,0,0,0,50,True,0
Ali Al-Hamadi,FWD,Ipswich Town,,a,,,,0.1,391,59,0,0,0,0,0,0.0,0,322,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,20,0,0,0,0,0,1,0,13332,0,0,1,2,0.0,0,0,0,0,50,True,0
Alejandro Garnacho Ferreyra,MID,Aston Villa,,a,,,,0.6,231,76,0,0,2,0,0,0.0,0,160,0.00,0.00,0.00,0.14,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,4,False,5,0,0,0,0,0,1,0,54802,0,0,0,4,0.0,1,0,0,0,60,False,0
Robin Roefs,GK,Sunderland,,a,,,,4.5,73,10,0,0,7,0,1,0.0,0,529,0.00,0.00,0.00,1.80,5,2,0,1.5,15.2,2026-08-22T14:00:00Z,90,False,12,0,0,0,8,0,1,1,397315,1,0,1,2,0.0,1,0,0,0,50,False,0
Pape Matar Sarr,MID,Spurs,,a,,,,0.4,284,94,0,0,0,0,0,0.0,0,518,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,4,0,0,0,0,0,1,0,25576,0,0,0,3,0.0,0,0,0,0,50,False,0
Steven Benda,GK,Nott'm Forest,,a,,,,0.0,488,53,0,0,0,0,0,0.0,0,590,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,13,0,0,0,0,0,1,0,5245,0,0,1,0,0.0,0,0,0,0,45,True,0
Ryan Yates,MID,Nott'm Forest,,i,Unspecified injury - Unknown return date,,0,2.9,105,35,0,0,0,0,0,0.0,0,489,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,13,0,0,0,0,0,1,0,177323,0,0,1,0,0.0,0,0,0,0,45,True,0
William Osula,FWD,Newcastle,,a,,,,1.0,190,29,1,0,18,0,2,13.7,5,465,0.14,0.20,0.06,1.48,9,1,0,5.0,28.2,2026-08-23T15:30:00Z,55,False,14,0,0,0,2,0,1,0,83021,1,1,2,2,8.0,4,0,0,0,60,True,0
Promise David,FWD,Brighton,,a,,,,0.2,354,56,0,0,0,0,0,0.0,0,594,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,2,0,0,0,0,0,1,0,20944,0,0,0,4,0.0,0,0,0,0,60,True,0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,,i,Unspecified injury - Unknown return date,,0,0.1,478,197,0,0,0,0,0,0.0,0,458,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,14,0,0,0,0,0,1,0,3620,0,0,2,2,0.0,0,0,0,0,55,True,0
James Rowswell,DEF,Spurs,,a,,,,0.1,446,156,0,0,0,0,0,0.0,0,510,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,4,0,0,0,0,0,1,0,7021,0,0,0,3,0.0,0,0,0,0,40,False,0
Pascal Groß,MID,Brighton,,a,,,,14.1,31,9,0,0,18,1,0,56.9,5,124,0.27,0.27,0.00,0.29,7,0,0,8.6,21.0,2026-08-23T13:00:00Z,90,False,2,0,0,0,2,0,1,0,1308033,1,3,0,4,8.0,2,0,0,0,55,True,1
Azor Matusiwa,MID,Ipswich Town,,i,Muscular injury - Unknown return date,,0,0.0,587,253,0,0,0,0,0,0.0,0,310,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,20,0,0,0,0,0,1,0,430,0,0,1,2,0.0,0,0,0,0,50,True,0
Lewis Koumas,MID,Liverpool,,a,,,,0.0,550,230,0,0,4,0,0,0.5,1,381,0.00,0.03,0.03,0.48,9,0,0,0.9,1.2,2026-08-23T15:30:00Z,12,False,17,0,0,0,1,0,1,0,1626,0,0,2,2,7.0,1,0,0,0,50,False,0
Óscar Zambrano,MID,Hull City,,i,Thigh injury - Unknown return date,,0,0.1,392,147,0,0,0,0,0,0.0,0,294,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,False,16,0,0,0,0,0,1,0,10995,0,0,0,2,0.0,0,0,0,0,45,True,0
Luka Vušković,DEF,Brighton,,a,,,,2.7,112,44,0,0,19,1,4,4.5,4,504,0.03,0.16,0.13,0.29,7,0,0,2.9,12.4,2026-08-23T13:00:00Z,90,False,2,0,0,0,2,0,1,0,221596,1,0,0,4,12.0,6,0,0,0,50,True,0
Jack Hinshelwood,MID,Brighton,,a,,,,0.4,266,86,0,3,54,1,0,13.4,3,123,0.02,1.43,1.41,0.19,7,0,2,14.5,72.8,2026-08-23T13:00:00Z,63,False,2,0,0,0,1,0,1,0,39219,1,2,0,4,59.0,16,0,0,0,60,True,0
Christos Tzolis,MID,Arsenal,,a,,,,22.1,14,6,1,0,30,1,2,39.8,6,557,0.14,0.33,0.19,0.06,1,0,0,8.7,17.0,2026-08-21T19:00:00Z,75,False,7,0,0,0,3,0,1,0,2247384,1,1,0,3,30.0,6,0,0,0,65,True,0
Rayan Vitor Simplício Rocha,MID,Bournemouth,,a,,,,2.8,107,36,0,0,9,0,1,11.3,1,67,0.03,0.07,0.04,2.06,8,1,0,3.5,6.2,2026-08-23T13:00:00Z,88,False,15,0,0,0,0,0,1,0,242374,1,0,1,2,17.0,2,0,0,0,65,False,0
Mateus Fernandes,MID,Spurs,,a,,,,2.1,125,40,0,0,16,0,0,27.2,2,525,0.06,0.06,0.00,2.18,2,1,0,3.6,7.2,2026-08-22T16:30:00Z,45,False,4,0,0,0,1,0,1,0,178624,0,1,0,3,2.0,1,0,0,0,60,False,0
Djed Spence,DEF,Spurs,,u,Has joined Internazionale permanently,,0,1.6,152,63,0,0,0,0,0,0.0,0,505,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,4,0,0,0,0,0,1,0,93085,0,0,0,3,0.0,0,0,0,0,45,False,0
