name,position,team,xP,status,news,chance_of_playing_this_round,chance_of_playing_next_round,selected_by_percent,selected_rank,selected_rank_type,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,clearances_blocks_interceptions,defensive_contribution,recoveries,tackles,GW
Fábio Ferreira Vieira,MID,Arsenal,,a,,,,0.0,577,244,0,0,0,0,0.0,23,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,False,7,0,0,0,0,1,0,892,0,0,3,0.0,0,0,0,0,55,True,0,0,0,0,0,1
George Hemmings,MID,Aston Villa,,a,,,,0.6,229,75,0,0,12,0,11.6,51,0.00,0.00,0.00,3.77,7,4,0,2.4,10.6,2026-08-23T13:00:00Z,90,False,5,0,0,0,0,1,0,60759,1,0,4,2.0,2,0,0,0,45,False,0,0,5,2,3,1
Abu Kamara,MID,Hull City,,u,Has joined Portsmouth permanently,,0,0.0,581,248,0,0,0,0,0.0,293,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,False,16,0,0,0,0,1,0,555,0,0,2,0.0,0,0,0,0,50,True,0,0,0,0,0,1
Rio Ngumoha,MID,Liverpool,,a,,,,1.2,176,58,0,0,9,0,6.0,369,0.02,0.06,0.04,0.51,9,2,0,1.3,2.4,2026-08-23T15:30:00Z,62,False,17,0,0,0,0,1,0,104767,1,2,2,5.0,2,0,0,0,60,False,0,0,3,2,1,1
Joe Gomez,DEF,Liverpool,,i,Muscular injury - Unknown return date,,0,0.0,538,182,0,0,0,0,0.0,359,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,17,0,0,0,0,1,0,1714,0,2,2,0.0,0,0,0,0,50,False,0,0,0,0,0,1
Zadok Yohanna,MID,Brighton,,a,,,,0.1,447,179,0,0,3,0,1.3,135,0.03,0.03,0.00,0.00,7,0,0,0.2,0.2,2026-08-23T13:00:00Z,12,False,2,0,0,0,0,1,0,6623,0,0,4,0.0,1,0,0,0,50,True,0,0,0,0,0,1
Mark Travers,GK,Everton,,a,,,,0.0,518,59,0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,8,0,0,0,0,1,0,3019,0,0,2,0.0,0,0,0,0,50,True,0,0,0,0,0,1
Alexis Mac Allister,MID,Liverpool,,a,,,,1.7,134,42,0,0,9,0,1.4,372,0.01,0.01,0.00,1.07,9,0,0,0.7,5.8,2026-08-23T15:30:00Z,27,False,17,0,0,0,0,1,0,151941,0,2,2,0.0,1,0,0,0,55,False,0,0,3,1,2,1
Benjamin Lecomte,GK,Fulham,,a,,,,1.3,172,25,0,0,0,0,0.0,251,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,False,6,0,0,0,0,1,0,107540,0,3,2,0.0,0,0,0,0,40,True,0,0,0,0,0,1
Harry Amass,DEF,Man Utd,,a,,,,0.2,341,129,0,0,0,0,0.0,424,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,False,11,0,0,0,0,1,0,18310,0,0,2,0.0,0,0,0,0,40,False,0,0,0,0,0,1
Raphael Borges Rodrigues,MID,Coventry City,,a,,,,0.2,358,127,0,0,0,0,0.0,191,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,False,1,0,0,0,0,1,0,16813,0,0,3,0.0,0,0,0,0,45,False,0,0,0,0,0,1
Luke O'Nien,DEF,Sunderland,,a,,,,3.5,86,33,0,0,1,0,1.4,539,0.01,0.02,0.01,1.69,5,1,0,1.7,11.4,2026-08-22T14:00:00Z,66,False,12,0,0,0,0,1,0,332959,1,1,2,4.0,1,0,0,0,40,False,1,4,5,4,1,1
Axel Disasi,DEF,Chelsea,,a,,,,0.1,477,164,0,0,0,0,0.0,153,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,False,10,0,0,0,0,1,0,5243,0,3,2,0.0,0,0,0,0,45,False,0,0,0,0,0,1
Kiernan Dewsbury-Hall,MID,Everton,,a,,,,3.3,92,31,0,3,40,1,28.3,236,0.17,0.29,0.12,1.92,3,0,1,9.8,42.8,2026-08-22T14:00:00Z,90,False,8,0,0,0,0,1,0,288693,1,0,2,27.0,11,0,0,0,65,True,0,1,8,5,2,1
Estêvão Almeida de Oliveira Gonçalves,MID,Chelsea,,a,,,,1.3,171,55,0,0,3,0,0.4,157,0.00,0.00,0.00,0.09,10,0,0,0.1,0.2,2026-08-24T19:00:00Z,7,False,10,0,0,0,0,1,0,109575,0,3,2,0.0,1,0,0,0,65,False,0,0,1,1,0,1
Kai Andrews,MID,Coventry City,,a,,,,0.7,221,73,0,0,0,0,0.0,192,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,False,1,0,0,0,0,1,0,62690,0,0,3,0.0,0,0,0,0,45,False,0,0,0,0,0,1
Vitezslav Jaros,GK,Liverpool,,i,Knee injury - Unknown return date,,0,0.0,560,66,0,0,0,0,0.0,354,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,17,0,0,0,0,1,0,1351,0,2,2,0.0,0,0,0,0,40,False,0,0,0,0,0,1
Victor Munoz,MID,Liverpool,,a,,,,0.6,242,80,1,0,15,0,8.9,377,0.04,0.14,0.10,1.07,9,0,0,2.7,4.0,2026-08-23T15:30:00Z,27,False,17,0,0,0,0,1,0,48042,0,2,2,14.0,4,0,0,0,65,False,0,0,0,0,0,1
Sidiki Cherif,FWD,Coventry City,,a,,,,0.0,490,67,0,0,0,0,0.0,599,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,False,1,0,0,0,0,1,0,7348,0,0,3,0.0,0,0,0,0,50,False,0,0,0,0,0,1
Jack Butland,GK,Hull City,,i,Arm injury - Unknown return date,,0,0.2,379,40,0,0,0,0,0.0,274,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,False,16,0,0,0,0,1,0,11096,0,0,2,0.0,0,0,0,0,45,True,0,0,0,0,0,1
Konstantinos Tzolakis,GK,Hull City,,a,,,,0.5,248,34,0,3,41,1,0.0,572,0.00,0.00,0.00,1.83,4,0,0,3.5,34.6,2026-08-22T11:30:00Z,90,False,16,0,0,0,0,1,5,48305,1,0,2,0.0,10,0,0,0,45,True,0,0,0,22,0,1
Alex Scott,MID,Bournemouth,,a,,,,1.5,154,45,0,0,17,0,4.8,69,0.01,0.01,0.00,2.25,8,2,0,1.6,11.4,2026-08-23T13:00:00Z,90,False,15,0,0,0,0,1,0,134668,1,1,2,0.0,2,0,0,0,60,False,0,1,11,6,4,1
Daniel Jebbison,FWD,Bournemouth,0.0,,,,,,,,0,0,6,0,0.8,608,0.00,0.10,0.10,0.31,8,2,0,2.1,3.4,2026-08-23T13:00:00Z,15,False,15,0,0,0,0,1,0,0,0,1,2,17.0,1,0,0,0,50,False,0,0,1,1,0,1
Oscar Mingueza,DEF,Crystal Palace,,a,,,,0.1,434,150,0,0,0,0,0.0,207,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,9,0,0,0,0,1,0,7928,0,0,2,0.0,0,0,0,0,45,False,0,0,0,0,0,1
Ryan Christie,MID,Bournemouth,,s,Suspended until 29 Aug,,0,0.0,569,240,0,0,0,0,0.0,75,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,15,0,0,0,0,1,0,1007,0,1,2,0.0,0,0,0,0,50,False,0,0,0,0,0,1
Leo Shahar,DEF,Newcastle,0.0,,,,,,,,0,0,0,0,0.0,609,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,14,0,0,0,0,1,0,0,0,2,2,0.0,0,0,0,0,40,True,0,0,0,0,0,1
Joe Gelhardt,MID,Hull City,,i,Ankle injury - Expected back 5 Sep,,0,0.0,544,225,0,0,0,0,0.0,340,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,False,16,0,0,0,0,1,0,1365,0,0,2,0.0,0,0,0,0,50,True,0,0,0,0,0,1
Kaine Kesler-Hayden,DEF,Coventry City,,a,,,,0.1,461,161,0,0,0,0,0.0,177,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,False,1,0,0,0,0,1,0,6032,0,0,3,0.0,0,0,0,0,40,False,0,0,0,0,0,1
Antoni Milambo,MID,Brentford,,i,Knee injury - Unknown return date,,0,0.0,595,259,0,0,0,0,0.0,99,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,19,0,0,0,0,1,0,187,0,0,3,0.0,0,0,0,0,50,True,0,0,0,0,0,1
Ben Johnson,DEF,Ipswich Town,,a,,,,0.1,417,146,0,0,0,0,0.0,307,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,20,0,0,0,0,1,0,10016,0,1,2,0.0,0,0,0,0,40,True,0,0,0,0,0,1
Abdul Fatawu,MID,Ipswich Town,,a,,,,0.2,324,111,0,0,22,0,28.4,315,0.41,0.41,0.00,0.63,5,1,0,5.5,18.6,2026-08-22T14:00:00Z,65,False,20,0,0,0,0,1,0,21235,1,1,2,8.0,2,0,0,0,55,True,0,1,7,2,4,1
Marcos Senesi Barón,DEF,Spurs,,a,,,,8.5,49,20,0,0,10,0,2.2,498,0.02,0.02,0.00,3.87,2,3,0,3.9,36.6,2026-08-22T16:30:00Z,90,False,4,0,0,0,0,1,0,724252,1,0,3,0.0,3,0,0,0,60,False,0,11,16,2,5,1
James Garner,MID,Everton,,i,Groin injury - Unknown return date,,0,0.2,382,142,0,0,6,0,11.8,239,0.03,0.03,0.00,0.34,3,0,0,1.9,4.8,2026-08-22T14:00:00Z,11,False,8,0,0,0,0,1,0,11659,0,0,2,2.0,1,0,0,0,60,True,0,0,1,0,1,1
Iliman Ndiaye,MID,Everton,,a,,,,15.9,27,8,1,1,36,1,39.8,237,0.32,0.56,0.24,1.96,3,0,0,12.9,40.8,2026-08-22T14:00:00Z,90,False,8,0,0,0,0,1,0,1434152,1,0,2,48.0,9,0,0,0,60,True,0,0,12,8,4,1
Eliot Matazo,MID,Hull City,,i,Knee injury - Unknown return date,,0,0.0,584,250,0,0,0,0,0.0,291,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,False,16,0,0,0,0,1,0,600,0,0,2,0.0,0,0,0,0,45,True,0,0,0,0,0,1
Ismaïla Sarr,MID,Crystal Palace,,a,,,,5.2,67,22,0,0,0,0,0.0,208,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,9,0,0,0,0,1,0,424225,0,0,2,0.0,0,0,0,0,65,False,0,0,0,0,0,1
Shumaira Mheuka,FWD,Chelsea,,a,,,,0.3,288,51,0,0,0,0,0.0,169,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,False,10,0,0,0,0,1,0,30422,0,3,2,0.0,0,0,0,0,45,False,0,0,0,0,0,1
Carlos Alcaraz Durán,MID,Everton,,a,,,,0.1,438,176,0,0,7,0,0.3,243,0.00,0.02,0.02,0.04,3,0,0,2.2,5.0,2026-08-22T14:00:00Z,1,False,8,0,0,0,0,1,0,8329,0,0,2,17.0,1,0,0,0,50,True,0,0,3,2,1,1
Jack Grealish,MID,Man City,,a,,,100,0.2,376,139,0,0,2,0,0.6,238,0.00,0.00,0.00,0.00,8,0,0,0.2,1.0,2026-08-23T13:00:00Z,8,False,3,0,0,0,0,1,0,16005,0,1,2,0.0,1,0,0,0,65,True,0,0,1,0,1,1
Kostas Tsimikas,DEF,Liverpool,,a,,,,0.1,448,157,0,0,0,0,0.0,364,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,17,0,0,0,0,1,0,6683,0,2,2,0.0,0,0,0,0,50,False,0,0,0,0,0,1
Virgil van Dijk,DEF,Liverpool,,a,,,,18.6,19,6,0,0,8,0,1.6,356,0.01,0.26,0.25,1.58,9,2,0,5.1,25.6,2026-08-23T15:30:00Z,90,False,17,0,0,0,0,1,0,1670280,1,2,2,24.0,2,0,0,0,65,False,1,9,11,6,2,1
Jacob Greaves,DEF,Ipswich Town,,a,,,,1.4,165,67,0,0,12,0,1.3,306,0.00,0.00,0.00,0.66,5,1,0,1.8,16.4,2026-08-22T14:00:00Z,90,False,20,0,0,0,0,1,0,134129,1,1,2,0.0,2,0,0,0,40,True,0,4,7,1,3,1
Jeremy Monga,MID,Man City,,a,,,,0.0,554,233,0,0,0,0,0.0,410,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,3,0,0,0,0,1,0,1505,0,1,2,0.0,0,0,0,0,50,True,0,0,0,0,0,1
Jean-Philippe Mateta,FWD,Crystal Palace,,a,,,,5.8,64,10,0,0,-3,0,12.3,223,0.02,0.72,0.70,0.98,3,2,0,2.5,1.4,2026-08-22T14:00:00Z,62,False,9,0,0,0,0,1,0,504100,1,0,2,11.0,2,0,0,0,65,False,0,1,5,2,2,1
Amar Dedic,DEF,Newcastle,,a,,,,0.2,377,143,0,0,-1,0,1.2,593,0.00,0.03,0.03,2.98,9,2,0,2.3,16.4,2026-08-23T15:30:00Z,90,False,14,0,0,0,0,1,0,20712,1,2,2,5.0,1,0,0,0,45,True,0,7,9,2,2,1
Vitaly Janelt,MID,Brentford,,a,,,,0.1,426,170,0,0,35,1,38.8,98,0.17,0.56,0.39,0.57,2,0,1,11.6,53.2,2026-08-22T16:30:00Z,90,False,19,0,0,0,0,1,0,9018,1,0,3,24.0,9,0,0,0,50,True,1,6,13,3,4,1
Darnell Furlong,DEF,Ipswich Town,,a,,,,0.6,232,89,0,0,0,0,0.0,308,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,20,0,0,0,0,1,0,56130,0,1,2,0.0,0,0,0,0,40,True,0,0,0,0,0,1
Martin Dubravka,GK,Spurs,,a,,,,20.4,18,4,0,0,0,0,0.0,497,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,4,0,0,0,0,1,0,1778139,0,0,3,0.0,0,0,0,0,40,False,0,0,0,0,0,1
Yankuba Minteh,MID,Brighton,,i,Leg injury - Expected back 28 Nov,,0,0.1,389,145,0,0,0,0,0.0,122,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,2,0,0,0,0,1,0,9337,0,0,4,0.0,0,0,0,0,60,True,0,0,0,0,0,1
Piero Hincapié,DEF,Arsenal,,a,,,,2.1,124,50,0,0,3,0,0.5,9,0.00,0.00,0.00,0.15,1,0,0,0.1,0.4,2026-08-21T19:00:00Z,9,False,7,0,0,0,0,1,0,165924,0,0,3,0.0,1,0,0,0,55,True,0,0,0,0,0,1
Pedro Porro Sauceda,DEF,Spurs,,a,,,,22.5,13,3,0,0,0,0,0.0,499,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,4,0,0,0,0,1,0,1595087,0,0,3,0.0,0,0,0,0,55,False,0,0,0,0,0,1
Yéremy Pino Santos,MID,Crystal Palace,,a,,,,0.2,342,120,0,0,4,0,6.3,211,0.02,0.08,0.06,0.27,3,0,0,1.4,2.0,2026-08-22T14:00:00Z,35,False,9,0,0,0,0,1,0,18106,0,0,2,6.0,1,0,0,0,55,False,0,0,5,3,2,1
Emmanuel Emegha,FWD,Chelsea,,a,,,100,0.1,423,61,0,0,0,0,0.0,170,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,False,10,0,0,0,0,1,0,11724,0,3,2,0.0,0,0,0,0,50,False,0,0,0,0,0,1
Mason Burstow,FWD,Hull City,,u,Has joined Sheffield Wednesday on loan for the rest of the season,,0,0.1,424,62,0,0,0,0,0.0,299,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,False,16,0,0,0,0,1,0,6401,0,0,2,0.0,0,0,0,0,45,True,0,0,0,0,0,1
Bukayo Saka,MID,Arsenal,,a,,,,9.2,46,16,0,1,36,1,26.1,12,0.08,0.72,0.64,0.06,1,0,1,10.2,42.8,2026-08-21T19:00:00Z,67,False,7,0,0,0,0,1,0,819914,1,0,3,33.0,9,0,0,0,95,True,0,2,7,4,1,1
Stefanos Tzimas,FWD,Brighton,,d,Knee injury - 75% chance of playing,,75,0.0,566,71,0,0,0,0,0.0,137,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,2,0,0,0,0,1,0,879,0,0,4,0.0,0,0,0,0,55,True,0,0,0,0,0,1
Chris Rigg,MID,Sunderland,,a,,,,0.1,458,185,0,0,3,0,0.3,548,0.00,0.00,0.00,0.10,5,1,0,0.0,0.0,2026-08-22T14:00:00Z,10,False,12,0,0,0,0,1,0,6214,0,1,2,0.0,1,0,0,0,50,False,0,0,1,1,0,1
Liam Millar,MID,Hull City,,a,,,,0.1,457,184,0,0,2,0,0.3,287,0.00,0.00,0.00,0.67,4,0,0,0.4,2.0,2026-08-22T11:30:00Z,19,False,16,0,0,0,0,1,0,6086,0,0,2,2.0,0,0,0,0,50,True,1,1,3,1,1,1
Phil Foden,MID,Man City,,a,,,,4.3,76,25,0,0,15,0,49.6,398,0.40,0.52,0.12,0.65,8,1,0,7.5,10.4,2026-08-23T13:00:00Z,81,False,3,0,0,0,0,1,0,387178,1,1,2,15.0,1,0,0,0,70,True,1,0,6,3,3,1
Matheus Nunes,DEF,Man City,,d,Knock - 75% chance of playing,,75,1.5,158,65,0,0,4,0,1.5,389,0.04,0.04,0.00,0.10,8,0,0,0.9,3.8,2026-08-23T13:00:00Z,33,False,3,0,0,0,0,1,0,123928,0,1,2,4.0,1,0,0,0,60,True,0,1,1,2,0,1
Ezri Konsa Ngoyo,DEF,Arsenal,,a,,,,15.0,28,10,0,0,0,0,0.0,31,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,False,7,0,0,0,0,1,0,1206127,0,0,3,0.0,0,0,0,0,45,True,0,0,0,0,0,1
Rodrigo Muniz Carvalho,FWD,Fulham,,a,,,,0.6,240,41,0,0,6,0,11.5,271,0.00,0.02,0.02,0.03,10,0,0,2.5,6.0,2026-08-24T19:00:00Z,8,False,6,0,0,0,0,1,0,52452,0,3,2,7.0,1,0,0,0,55,True,0,1,1,0,0,1
Marco Palestra,DEF,Chelsea,,a,,,,2.8,108,41,0,0,0,0,0.0,152,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,False,10,0,0,0,0,1,0,263643,0,3,2,0.0,0,0,0,0,55,False,0,0,0,0,0,1
Lamare Bogarde,MID,Aston Villa,,a,,,,0.1,466,190,0,0,3,0,0.5,35,0.00,0.00,0.00,0.22,7,0,0,0.3,2.2,2026-08-23T13:00:00Z,16,False,5,0,0,0,0,1,0,5822,0,0,4,0.0,1,0,0,0,50,False,0,1,1,0,0,1
Ferdi Kadıoğlu,DEF,Brighton,,a,,,,3.0,103,40,0,0,0,0,0.0,113,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,2,0,0,0,0,1,0,265528,0,0,4,0.0,0,0,0,0,45,True,0,0,0,0,0,1
Jurriën Timber,DEF,Arsenal,,i,Groin injury - Unknown return date,,0,0.2,386,144,0,0,0,0,0.0,5,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,False,7,0,0,0,0,1,0,11200,0,0,3,0.0,0,0,0,0,65,True,0,0,0,0,0,1
Maxence Lacroix,DEF,Chelsea,,a,,,,9.5,43,15,1,0,25,0,11.2,200,0.20,0.20,0.00,1.33,10,2,0,5.7,44.2,2026-08-24T19:00:00Z,90,False,10,0,0,0,0,1,0,792478,1,3,2,2.0,6,0,0,0,60,False,0,7,12,2,5,1
James Hill,DEF,Bournemouth,,a,,,,0.9,198,75,0,0,0,0,0.3,60,0.00,0.00,0.00,2.25,8,2,0,1.2,11.6,2026-08-23T13:00:00Z,90,False,15,0,0,0,0,1,0,72436,1,1,2,0.0,1,0,0,0,55,False,0,5,6,1,1,1
Loum Tchaouna,MID,Coventry City,,a,,,,0.1,396,151,0,0,11,0,6.0,190,0.02,0.06,0.04,1.76,1,3,0,1.1,1.8,2026-08-21T19:00:00Z,81,False,1,0,0,0,0,1,0,12321,1,0,3,3.0,2,0,0,0,55,False,0,3,8,5,0,1
Tyler Dibling,MID,Everton,,a,,,,0.0,500,208,0,0,0,0,0.0,245,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,8,0,0,0,0,1,0,3592,0,0,2,0.0,0,0,0,0,55,True,0,0,0,0,0,1
James Tarkowski,DEF,Everton,,a,,,,9.0,47,18,0,0,25,1,0.8,229,0.00,0.05,0.05,1.96,3,0,0,2.0,15.2,2026-08-22T14:00:00Z,90,False,8,0,0,0,0,1,0,765229,1,0,2,4.0,6,0,0,0,60,True,0,8,9,4,1,1
Omar Richards,DEF,Nott'm Forest,,a,,,,0.2,326,122,0,0,0,0,0.0,476,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,13,0,0,0,0,1,0,23191,0,1,0,0.0,0,0,0,0,40,True,0,0,0,0,0,1
Sávio Moreira de Oliveira,MID,Man City,,a,,,,0.2,352,125,0,0,0,0,0.0,403,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,3,0,0,0,0,1,0,23783,0,1,2,0.0,0,0,0,0,65,True,0,0,0,0,0,1
Amad Diallo,MID,Man Utd,,a,,,,1.6,149,44,0,0,0,0,0.0,431,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,False,11,0,0,0,0,1,0,145627,0,0,2,0.0,0,0,0,0,60,False,0,0,0,0,0,1
Mitoma Kaoru,MID,Brighton,,i,Hamstring injury - Unknown return date,,0,0.1,474,196,0,0,0,0,0.0,121,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,2,0,0,0,0,1,0,4360,0,0,4,0.0,0,0,0,0,60,True,0,0,0,0,0,1
Ousmane Diomande,DEF,Nott'm Forest,,a,,,,0.7,220,84,0,0,0,0,0.0,581,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,13,0,0,0,0,1,0,67092,0,1,0,0.0,0,0,0,0,55,True,0,0,0,0,0,1
Arnaud Kalimuendo,FWD,Nott'm Forest,,a,,,,0.0,489,66,0,0,3,0,0.0,493,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,1,False,13,0,0,0,0,1,0,4138,0,1,0,0.0,1,0,0,0,55,True,0,0,0,0,0,1
Lewis Cook,MID,Bournemouth,,a,,,,0.1,397,152,0,0,8,1,2.1,71,0.00,0.00,0.00,1.94,8,0,0,0.7,4.6,2026-08-23T13:00:00Z,75,False,15,0,0,0,0,1,0,13065,1,1,2,0.0,3,0,0,0,50,False,0,3,7,3,1,1
Morgan Rogers,MID,Chelsea,,a,,,,25.2,11,5,0,1,37,0,53.5,40,0.10,1.06,0.96,1.24,10,2,1,13.1,48.8,2026-08-24T19:00:00Z,81,False,10,0,0,0,0,1,0,2178086,1,3,2,29.0,8,0,0,0,75,False,0,0,7,5,2,1
Jesurun Rak-Sakyi,MID,Crystal Palace,,a,,,,0.0,588,254,0,0,0,0,0.0,219,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,9,0,0,0,0,1,0,550,0,0,2,0.0,0,0,0,0,50,False,0,0,0,0,0,1
Wes Burns,MID,Ipswich Town,,u,Has joined Leicester City permanently,,0,0.0,580,247,0,0,0,0,0.0,311,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,20,0,0,0,0,1,0,562,0,1,2,0.0,0,0,0,0,50,True,0,0,0,0,0,1
Nick Woltemade,FWD,Newcastle,,a,,,,1.7,137,19,0,0,0,0,0.0,463,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,14,0,0,0,0,1,0,151424,0,2,2,0.0,0,0,0,0,60,True,0,0,0,0,0,1
Adrien Truffert,DEF,Bournemouth,,a,,,,4.6,71,28,0,0,0,0,1.3,61,0.00,0.00,0.00,2.25,8,2,0,1.7,15.4,2026-08-23T13:00:00Z,90,False,15,0,0,0,0,1,0,392050,1,1,2,0.0,1,0,0,0,55,False,0,5,7,7,2,1
Dominik Szoboszlai,MID,Liverpool,,a,,,,41.7,4,2,0,1,29,0,47.1,368,0.27,1.12,0.85,1.58,9,2,1,11.9,50.4,2026-08-23T15:30:00Z,90,False,17,0,0,0,0,1,0,3733259,1,2,2,21.0,8,0,0,0,70,False,0,2,7,4,1,1
Declan Rice,MID,Arsenal,,a,,,,18.6,20,7,0,0,10,1,6.4,13,0.08,0.15,0.07,0.06,1,0,0,1.5,6.8,2026-08-21T19:00:00Z,67,False,7,0,0,0,0,1,0,1604406,1,0,3,2.0,3,0,0,0,75,True,0,3,6,3,0,1
Gustavo Hamer,MID,Coventry City,,a,,,,0.1,393,148,0,0,3,0,0.3,584,0.00,0.00,0.00,0.13,1,0,0,0.1,0.4,2026-08-21T19:00:00Z,8,False,1,0,0,0,0,1,0,12932,0,0,3,0.0,1,0,0,0,55,False,0,0,1,1,0,1
Leny Yoro,DEF,Man Utd,,a,,,,0.7,216,82,0,0,0,0,0.0,420,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,False,11,0,0,0,0,1,0,62047,0,0,2,0.0,0,0,0,0,50,False,0,0,0,0,0,1
Harrison Reed,MID,Fulham,,a,,,,1.4,161,49,0,0,0,0,0.0,270,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,False,6,0,0,0,0,1,0,139875,0,3,2,0.0,0,0,0,0,45,True,0,0,0,0,0,1
Adam Wharton,MID,Crystal Palace,,a,,,100,0.8,208,68,0,0,20,0,30.9,210,0.24,0.24,0.00,1.12,3,2,0,4.8,16.8,2026-08-22T14:00:00Z,90,False,9,0,0,0,0,1,0,75177,1,0,2,0.0,4,0,0,0,55,False,0,4,14,8,2,1
Matt Targett,DEF,Hull City,,a,,,,2.6,113,45,0,0,3,0,0.0,556,0.00,0.00,0.00,0.07,4,0,0,0.0,0.4,2026-08-22T11:30:00Z,5,False,16,0,0,0,0,1,0,218902,0,0,2,0.0,1,0,0,0,40,True,0,0,0,1,0,1
Ian Maatsen,DEF,Aston Villa,,a,,,,0.9,200,76,0,0,-9,0,0.8,36,0.00,0.03,0.03,3.62,7,4,0,1.3,9.2,2026-08-23T13:00:00Z,81,False,5,0,0,0,0,1,0,71952,1,0,4,3.0,0,0,0,0,45,False,0,7,9,2,2,1
