id,xP
1,7.9
2,1.5
3,0.0
4,1.5
5,7.7
6,7.3
7,3.1
8,0.0
9,0.0
10,4.3
11,0.0
13,1.5
14,0.0
15,1.5
16,6.3
17,3.9
18,2.7
19,1.9
20,5.3
21,4.9
22,0.0
23,0.0
24,1.5
25,0.0
26,3.9
28,0.0
29,0.0
30,5.3
31,1.7
266,4.9
662,2.9
666,5.7
700,1.7
711,1.5
725,3.7
759,1.5
32,2.5
33,-0.5
34,0.0
35,0.0
36,1.3
37,1.5
38,0.5
39,1.1
40,-0.1
41,0.5
42,-0.5
43,0.0
44,0.3
45,0.0
46,0.0
47,4.7
48,1.9
49,0.1
50,1.9
51,0.0
53,0.0
54,3.1
55,2.3
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,8.1
65,0.0
389,0.0
456,0.5
688,-0.5
699,-0.1
701,0.0
702,-0.5
703,-0.5
710,-0.5
719,0.1
754,-0.5
757,-0.5
768,-0.5
781,-0.5
792,0.0
808,0.9
183,-0.7
184,0.0
185,-1.5
186,0.0
187,-0.5
188,0.0
189,0.0
190,-0.1
191,1.3
192,0.1
193,-0.9
194,0.0
195,-0.9
196,0.0
197,0.0
198,-0.5
199,-1.5
200,2.1
201,0.0
202,-0.9
203,-1.5
204,0.0
205,0.0
206,-0.9
207,-0.2
208,0.0
209,-0.3
210,1.5
211,0.0
212,0.0
213,0.0
214,-1.3
215,1.9
216,-0.9
217,-0.9
218,-1.5
219,0.0
470,-0.3
614,0.5
676,0.3
680,-0.9
722,1.1
776,-1.5
784,-1.5
820,-1.5
66,0.0
67,2.7
68,0.0
69,-0.5
70,0.0
71,0.0
72,6.0
73,2.3
74,4.3
75,-0.5
76,-0.5
77,3.7
78,0.0
79,0.0
80,-0.5
81,-0.5
84,1.3
85,1.5
86,1.5
87,0.0
88,-0.2
89,0.0
90,2.3
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,1.3
98,0.0
99,0.0
100,3.5
391,-0.3
685,-0.5
687,-0.5
697,0.3
713,0.0
721,-0.5
756,-0.5
782,-0.5
799,-0.5
801,0.0
806,-0.5
807,5.3
27,1.0
83,5.8
101,3.8
102,0.0
103,0.0
104,0.0
105,0.0
106,3.0
107,3.5
108,1.5
109,0.0
110,1.8
111,0.0
112,0.0
113,2.5
114,0.0
115,0.0
116,0.8
117,0.0
118,0.0
120,2.0
121,4.8
122,0.0
123,0.0
124,0.2
125,0.8
126,4.8
127,0.0
128,0.0
129,4.2
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
136,2.8
137,0.0
748,0.5
797,0.2
810,0.0
819,0.0
823,0.0
824,0.0
826,0.0
138,0.5
139,4.5
140,0.5
141,0.0
142,0.0
143,2.3
144,0.0
145,6.0
146,4.7
147,0.0
148,6.5
149,0.5
150,0.0
151,4.5
152,2.7
153,0.0
154,0.0
155,0.0
156,0.5
157,0.0
158,2.7
159,1.0
160,4.5
161,0.0
162,0.0
