id,selected_by_percent,selected_rank,selected_rank_type
1,36.5,6,1
2,0.4,292,37
3,0.2,382,54
4,0.2,374,53
5,46.0,4,1
6,17.2,19,7
7,5.9,69,21
8,15.3,21,8
9,0.0,595,212
10,1.9,140,56
11,0.5,264,101
13,0.5,281,107
14,0.1,501,179
15,0.2,361,132
16,13.0,30,10
17,1.7,154,50
18,0.8,221,77
19,0.9,211,73
20,2.0,138,45
21,24.0,11,3
22,0.7,228,80
23,0.0,696,279
24,0.1,442,151
25,0.1,461,158
26,2.8,115,37
28,0.1,497,178
29,0.0,591,221
30,0.6,244,35
31,0.3,311,50
266,8.9,45,15
662,0.3,348,127
666,17.6,17,4
700,0.8,217,74
711,0.0,708,288
725,0.9,213,82
759,0.0,667,235
32,4.5,86,15
33,0.4,294,38
34,0.1,511,74
35,0.0,760,88
36,7.6,56,16
37,1.5,162,65
38,7.1,60,19
39,0.5,258,97
40,0.6,243,92
41,0.3,325,119
42,0.2,377,135
43,1.5,163,66
44,0.5,261,98
45,0.2,357,131
46,0.1,469,174
47,20.9,13,4
48,0.7,239,84
49,0.1,470,162
50,0.4,293,101
51,0.0,699,281
53,0.4,291,100
54,0.7,232,81
55,0.1,507,186
56,0.0,838,377
57,0.0,674,270
58,0.2,406,140
59,0.6,246,87
60,0.2,360,122
61,0.1,542,200
62,0.1,572,214
63,0.5,277,94
64,13.4,28,8
65,0.3,333,54
389,0.2,407,141
456,0.2,366,125
688,0.6,252,34
699,0.1,526,192
701,0.1,543,192
702,0.1,446,153
703,0.6,251,33
710,0.2,387,141
719,0.1,484,175
754,0.0,747,316
757,0.0,704,83
768,0.0,687,244
781,0.0,694,247
792,0.0,787,340
808,0.2,410,61
183,0.1,429,61
184,0.2,417,58
185,0.1,423,59
186,0.0,658,233
187,1.1,186,72
188,0.2,393,144
189,0.0,737,254
190,0.7,233,89
191,6.8,61,20
192,0.6,255,95
193,0.1,453,170
194,0.1,569,203
195,0.3,351,128
196,0.0,623,222
197,0.2,408,151
198,0.9,214,83
199,0.2,390,143
200,2.0,136,43
201,0.0,721,298
202,0.0,626,239
203,0.0,592,222
204,0.0,736,308
205,0.8,223,78
206,0.1,504,184
207,0.1,443,152
208,0.0,746,315
209,0.0,629,241
210,0.0,620,237
211,1.4,171,59
212,0.0,776,334
213,0.0,631,242
214,0.1,490,174
215,0.5,272,43
216,0.0,670,86
217,0.7,227,33
218,1.2,178,28
219,0.1,474,67
470,25.9,10,2
614,0.2,384,133
676,0.1,481,171
680,0.1,427,62
722,0.0,615,234
776,0.0,794,345
784,0.0,801,350
820,0.0,814,359
66,0.1,574,78
67,5.0,76,12
68,0.7,234,30
69,0.2,362,51
70,0.1,581,79
71,0.0,680,240
72,21.4,12,4
73,0.2,378,136
74,5.0,79,24
75,0.2,383,138
76,0.2,397,147
77,7.3,58,18
78,0.5,273,103
79,0.1,550,195
80,0.2,386,140
81,0.6,245,86
84,4.3,89,30
85,0.3,341,118
86,0.2,399,136
87,0.1,462,159
88,0.0,639,246
89,0.0,686,274
90,2.1,133,42
91,0.0,749,318
92,0.1,566,211
93,0.3,344,119
94,0.0,653,255
95,0.1,583,218
96,0.0,652,254
97,2.4,128,20
98,0.0,588,80
99,0.1,444,63
100,6.7,64,12
391,0.0,642,248
685,0.3,346,125
687,0.2,401,138
697,0.2,369,126
713,0.2,419,156
721,0.0,645,231
756,0.0,740,311
782,0.0,651,81
799,0.0,773,331
801,0.0,765,325
806,0.0,754,87
807,1.9,141,47
27,0.1,498,179
83,1.6,158,53
101,12.2,33,4
102,0.2,355,49
103,0.1,449,66
104,0.1,482,69
105,0.9,203,24
106,2.5,121,47
107,1.6,160,64
108,0.2,380,137
109,0.1,452,169
110,1.1,192,74
111,0.1,451,168
112,0.0,726,252
113,1.1,194,75
114,0.2,398,148
115,0.1,539,191
116,0.3,304,113
117,0.1,534,190
118,0.0,617,219
120,1.4,168,57
121,0.8,220,76
122,0.0,657,259
123,0.1,472,164
124,0.3,328,112
125,0.1,493,176
126,0.2,415,143
127,0.0,733,306
128,0.0,613,232
129,0.1,479,169
130,0.1,478,168
131,0.1,440,150
132,0.0,692,278
133,0.0,646,251
134,0.0,802,351
136,31.5,8,3
137,0.3,332,53
748,0.0,815,360
797,0.0,695,88
810,0.0,800,349
819,0.0,753,257
823,0.0,788,263
824,0.0,786,262
826,0.0,818,362
138,0.2,358,50
139,9.5,38,6
140,0.3,327,45
141,0.0,817,95
142,0.0,820,96
143,0.1,421,158
144,0.0,605,215
145,1.7,153,62
146,0.9,201,78
147,0.0,756,258
148,1.4,167,67
149,0.1,515,185
150,0.1,522,187
151,10.9,35,11
152,0.1,441,166
153,0.0,764,260
154,0.0,795,264
155,0.1,514,184
156,0.2,413,153
157,2.0,137,44
158,0.3,306,105
159,0.0,705,285
160,2.5,122,40
161,0.0,757,321
162,0.0,604,229
163,1.5,165,56
