id,xP
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
28,0.0
29,0.0
30,0.0
31,0.0
266,0.0
662,0.0
666,0.0
700,0.0
711,0.0
725,0.0
759,0.0
32,2.5
33,0.0
34,0.0
35,0.0
36,1.2
37,3.2
38,2.0
39,0.5
40,0.8
41,1.8
42,0.2
43,0.0
44,0.2
45,0.0
46,0.0
47,2.8
48,0.1
49,1.8
50,1.8
51,0.0
53,0.0
54,3.0
55,4.2
56,0.0
57,0.0
58,0.0
59,2.8
60,0.0
61,0.0
62,0.0
63,0.0
64,3.0
65,0.0
389,0.0
456,2.0
688,0.0
699,2.5
701,0.0
702,0.0
703,0.0
710,0.0
719,0.0
754,0.0
757,0.0
768,0.0
781,0.0
792,0.5
808,1.0
183,-0.5
184,0.0
185,-0.5
186,0.0
187,2.0
188,0.0
189,0.0
190,-0.5
191,2.0
192,1.3
193,1.5
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,1.0
200,4.3
201,0.0
202,-0.3
203,-0.5
204,0.0
205,0.0
206,0.0
207,3.3
208,0.0
209,0.5
210,0.3
211,0.0
212,0.0
213,0.0
214,-0.4
215,3.3
216,0.0
217,1.7
218,0.3
219,0.0
470,2.0
614,1.7
676,1.0
680,-0.3
722,0.0
776,-0.5
784,-0.5
820,-0.5
66,0.0
67,3.7
68,0.0
69,-0.5
70,0.0
71,0.0
72,6.0
73,1.5
74,6.3
75,-0.5
76,-0.5
77,3.7
78,0.0
79,0.0
80,0.0
81,0.0
84,3.0
85,0.0
86,0.3
87,3.7
88,0.0
89,0.0
90,2.7
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,3.3
98,0.3
99,0.0
100,2.0
391,-0.3
685,-0.5
687,-0.5
697,0.7
713,2.3
721,-0.5
756,-0.5
782,-0.5
799,-0.5
801,-0.5
806,-0.5
807,2.0
27,0.2
83,4.2
101,4.0
102,0.0
103,0.0
104,0.0
105,0.2
106,3.0
107,3.0
108,1.8
109,0.0
110,4.8
111,2.5
112,0.0
113,4.8
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
120,3.8
121,4.3
122,0.0
123,0.0
124,2.8
125,0.0
126,3.2
127,0.0
128,0.0
129,1.5
130,0.2
131,0.0
132,0.0
133,0.0
134,0.0
136,4.5
137,0.0
748,0.0
797,0.0
810,0.0
819,0.0
823,1.4
824,1.4
138,-0.5
139,3.3
140,-0.5
141,0.0
142,0.0
143,-0.3
144,0.0
145,0.0
146,2.7
147,0.0
148,2.7
149,-0.5
150,0.0
151,4.3
152,0.5
153,0.0
154,0.0
155,0.0
156,-0.5
157,0.3
158,0.7
159,-0.3
160,2.3
161,0.0
162,0.0
163,3.3
